代碼,學分,學時,老師,班級,Subject,科目,時間,地點
J203,3,3,陳財富,碩專一二選3, Energy Engineering Practices,能源工程實務,六13-15,E109能源工程實驗室
J231,2,2,駱文傑,冷凍碩職一, Seminar （Ⅰ）,書報討論（一）,六03-04,E227研究所電化教室
J232,0,0,,冷凍碩職一,,班週會時間,六01-02,E227研究所電化教室
J233,0,0,,冷凍碩職二,,班週會時間,六01-01,"國秀樓511教室), 六05-0"
J299,3,3,冷凍碩論文,冷凍碩職二, Thesis or Technical Reports,論文或技術報告,,
J301,3,3,王清德,資管研碩職一選1,,資料層級分析,四11-13,管理館M402A
J302,3,3,黃俊明,資管研碩職一選2, New products development and management,新產品開發管理,五11-13,管理館M108
J303,3,3,翁國亮,資管研碩職一選2, Introduction to Building Information Modeling,建築資訊模型建置概論,五11-13,管理館M402A
J304,3,3,黃嘉彥,資管研碩職一選3, Marketing of High-Technology,科技行銷管理,六09-11,管理館M410
J305,3,3,曹文瑜,資管研碩職一選3, Multivariate Analysis,多變量分析,六09-11,管理館M510B
J306,3,3,黃世文,資管研碩職一選4, Human Resource Management,人力資源管理,六12-14,管理館M410
J331,3,3,翁國亮,資管研碩職一, Patents and R&D,專利與研發,六02-04,管理館M109
J332,3,3,劉宜菁,資管研碩職一, Information Management Research,資訊管理研究,六02-04,管理館M510B
J333,1,2,黃嘉彥,資管研碩職一, Seminar（II）,書報討論（二）,六07-08,管理館M410
J334,1,2,翁國亮,資管研碩職二, Research Seminar （Ⅱ）,專題研究（二）,六07-08,管理館M109
J335,0,0,,資管研碩職一,,班週會時間,六05-06,管理館M410
J336,0,0,,資管研碩職二,,班週會時間,六05-06,管理館M109
J399,3,3,資管碩論文,資管研碩職二, Papers,論文,,
J401,3,3,柯俊宏,企管碩職一二選1, Knowledge Management,知識管理,二10-12,企管系會議室
J402,3,3,曹文琴,企管碩職一二選2, Research Method,研究方法,六02-04,企管系會議室
J403,3,3,呂金龍,企管碩職一二選3, Humanity and Business,企業與人文,六10-12,企管系會議室
J404,3,3,陳俊洪,企管碩職一二選4, Financial Analysis and Investment Evaluation,財務分析與投資評量,六14-16,企管系會議室
J431,1,1,曹文琴,企管碩職一, Seminar（Ⅱ）,書報討論（二）,,單週開課)六07-0
J432,0,0,,企管碩職一,,班週會時間,六06-06,企管系會議室
J433,0,0,,企管碩職二,,班週會時間,六05-05,企管系會議室
J499,3,3,企管碩論文,企管碩職二, Master Thesis,論文,,
